Aalsmeer;NH;Noord-Holland;NL;Netherlands
Aalsmeerderbrug;NH;Noord-Holland;NL;Netherlands
Aartswoud;NH;Noord-Holland;NL;Netherlands
Abbekerk;NH;Noord-Holland;NL;Netherlands
Abbenes;NH;Noord-Holland;NL;Netherlands
Aerdenhout;NH;Noord-Holland;NL;Netherlands
Akersloot;NH;Noord-Holland;NL;Netherlands
Alkmaar;NH;Noord-Holland;NL;Netherlands
Amstelveen;NH;Noord-Holland;NL;Netherlands
Amsterdam;NH;Noord-Holland;NL;Netherlands
Amsterdam Zuidoost;NH;Noord-Holland;NL;Netherlands
Andijk;NH;Noord-Holland;NL;Netherlands
Ankeveen;NH;Noord-Holland;NL;Netherlands
Anna Paulowna;NH;Noord-Holland;NL;Netherlands
Assendelft;NH;Noord-Holland;NL;Netherlands
Avenhorn;NH;Noord-Holland;NL;Netherlands
Badhoevedorp;NH;Noord-Holland;NL;Netherlands
Barsingerhorn;NH;Noord-Holland;NL;Netherlands
Beets NH;NH;Noord-Holland;NL;Netherlands
Beinsdorp;NH;Noord-Holland;NL;Netherlands
Bennebroek;NH;Noord-Holland;NL;Netherlands
Benningbroek;NH;Noord-Holland;NL;Netherlands
Bentveld;NH;Noord-Holland;NL;Netherlands
Bergen Aan Zee;NH;Noord-Holland;NL;Netherlands
Bergen NH;NH;Noord-Holland;NL;Netherlands
Berkhout;NH;Noord-Holland;NL;Netherlands
Beverwijk;NH;Noord-Holland;NL;Netherlands
Blaricum;NH;Noord-Holland;NL;Netherlands
Bloemendaal;NH;Noord-Holland;NL;Netherlands
Blokker;NH;Noord-Holland;NL;Netherlands
Boesingheliede;NH;Noord-Holland;NL;Netherlands
Bovenkarspel;NH;Noord-Holland;NL;Netherlands
Breezand;NH;Noord-Holland;NL;Netherlands
Breukeleveen;NH;Noord-Holland;NL;Netherlands
Broek in Waterland;NH;Noord-Holland;NL;Netherlands
Broek op Langedijk;NH;Noord-Holland;NL;Netherlands
Buitenkaag;NH;Noord-Holland;NL;Netherlands
Burgerbrug;NH;Noord-Holland;NL;Netherlands
Burgerveen;NH;Noord-Holland;NL;Netherlands
Bussum;NH;Noord-Holland;NL;Netherlands
Callantsoog;NH;Noord-Holland;NL;Netherlands
Castricum;NH;Noord-Holland;NL;Netherlands
Cruquius;NH;Noord-Holland;NL;Netherlands
De Cocksdorp;NH;Noord-Holland;NL;Netherlands
De Goorn;NH;Noord-Holland;NL;Netherlands
